Strategy,Coverage,R_value,Size
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,8,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,102,
DV,1,1.2,13,
DV,1,1.2,6,
DV,1,1.2,2,
DV,1,1.2,4,
DV,1,1.2,5,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,28,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,869,
DV,1,1.2,1,
DV,1,1.2,35,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,23,
DV,1,1.2,3,
DV,1,1.2,4,
DV,1,1.2,22,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,29,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,8,
DV,1,1.2,4,
DV,1,1.2,2092,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,24,
DV,1,1.2,2,
DV,1,1.2,18,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,2,
